ID,en,fr,de,es,pl,ru,ko,ja,zh,zh_tw,tr,hi,ind
Pisa.description,"Pisa rose to greatness on the waves of the Mediterranean. Located near the mouth of the Arno River, the city began as a Roman colony and naval base. After centuries of Lombard and Frankish rule, Pisa emerged in the 11th century as a formidable maritime power. The Pisan fleet achieved glory in 1063 by raiding the Saracen stronghold of Palermo, bringing back immense wealth that funded the construction of the magnificent Cathedral. Through fierce rivalry with Genoa and alliances with the Holy Roman Empire, Pisa controlled Corsica, Sardinia, and established trading posts across the Mediterranean. The republic's golden age saw it become one of the four great Maritime Republics of Italy, its prosperity built on shipbuilding, trade, and naval supremacy.","Pise s'est hissée à la grandeur sur les flots de la Méditerranée. Située près de l'embouchure de l'Arno, la ville débuta comme colonie romaine et base navale. Après des siècles de domination lombarde et franque, Pise émergea au XIe siècle comme une puissance maritime formidable. La flotte pisane atteignit la gloire en 1063 en attaquant la forteresse sarrasine de Palerme, rapportant d'immenses richesses qui financèrent la construction de la magnifique cathédrale. Par une rivalité féroce avec Gênes et des alliances avec le Saint-Empire romain germanique, Pise contrôla la Corse, la Sardaigne et établit des comptoirs commerciaux à travers la Méditerranée. L'âge d'or de la république la vit devenir l'une des quatre grandes républiques maritimes d'Italie, sa prospérité fondée sur la construction navale, le commerce et la suprématie navale.","Pisa erlangte Größe auf den Wellen des Mittelmeers. Die nahe der Mündung des Arno gelegene Stadt begann als römische Kolonie und Marinebasis. Nach Jahrhunderten lombardischer und fränkischer Herrschaft entwickelte sich Pisa im 11. Jahrhundert zu einer gewaltigen Seemacht. Die pisanische Flotte erlangte 1063 Ruhm durch die Plünderung der sarazenischen Festung Palermo und brachte immense Reichtümer zurück, die den Bau der prächtigen Kathedrale finanzierten. Durch erbitterte Rivalität mit Genua und Bündnisse mit dem Heiligen Römischen Reich kontrollierte Pisa Korsika, Sardinien und errichtete Handelsstützpunkte im gesamten Mittelmeerraum. Das goldene Zeitalter der Republik sah sie zu einer der vier großen Seerepubliken Italiens aufsteigen, deren Wohlstand auf Schiffbau, Handel und maritimer Vorherrschaft beruhte.","Pisa alcanzó la grandeza sobre las olas del Mediterráneo. Ubicada cerca de la desembocadura del río Arno, la ciudad comenzó como colonia romana y base naval. Tras siglos de dominio lombardo y franco, Pisa emergió en el siglo XI como una formidable potencia marítima. La flota pisana logró la gloria en 1063 al asaltar la fortaleza sarracena de Palermo, trayendo inmensas riquezas que financiaron la construcción de la magnífica catedral. A través de una feroz rivalidad con Génova y alianzas con el Sacro Imperio Romano Germánico, Pisa controló Córcega, Cerdeña y estableció puestos comerciales por todo el Mediterráneo. La edad de oro de la república la vio convertirse en una de las cuatro grandes repúblicas marítimas de Italia, con su prosperidad construida sobre la construcción naval, el comercio y la supremacía naval.","Piza osiągnęła wielkość na falach Morza Śródziemnego. Położone w pobliżu ujścia rzeki Arno miasto zaczynało jako rzymska kolonia i baza morska. Po stuleciach lombardzkiego i frankijskiego panowania Piza wyłoniła się w XI wieku jako potężna potęga morska. Flota pizańska osiągnęła chwałę w 1063 roku, najeżdżając saracenską twierdzę Palermo i przywożąc ogromne bogactwa, które sfinansowały budowę wspaniałej katedry. Poprzez zaciekłą rywalizację z Genuą i sojusze ze Świętym Cesarstwem Rzymskim Piza kontrolowała Korsykę, Sardynię i zakładała placówki handlowe w całym basenie Morza Śródziemnego. Złoty wiek republiki uczynił ją jedną z czterech wielkich republik morskich Włoch, a jej dobrobyt opierał się na budowie statków, handlu i supremacji morskiej.","Пиза достигла величия на волнах Средиземного моря. Расположенный близ устья реки Арно, город начинался как римская колония и военно-морская база. После столетий лангобардского и франкского правления Пиза в XI веке превратилась в грозную морскую державу. Пизанский флот добился славы в 1063 году, совершив набег на сарацинскую крепость Палермо и привезя огромные богатства, на которые был построен великолепный собор. Благодаря ожесточенному соперничеству с Генуей и союзам со Священной Римской империей Пиза контролировала Корсику, Сардинию и создала торговые посты по всему Средиземноморью. Золотой век республики сделал её одной из четырёх великих морских республик Италии, чье процветание основывалось на судостроении, торговле и военно-морском превосходстве.","피사는 지중해의 파도를 타고 위대함을 이루었습니다. 아르노 강 입구 근처에 위치한 이 도시는 로마 식민지이자 해군 기지로 시작되었습니다. 수세기에 걸친 랑고바르드족과 프랑크족의 통치 이후, 피사는 11세기에 강력한 해양 강국으로 부상했습니다. 피사 함대는 1063년 사라센의 요새 팔레르모를 습격하여 영광을 얻었고, 막대한 부를 가져와 장엄한 대성당 건설 자금을 댔습니다. 제노바와의 치열한 경쟁과 신성 로마 제국과의 동맹을 통해 피사는 코르시카와 사르데냐를 지배했고 지중해 전역에 무역 거점을 세웠습니다. 공화국의 황금기에 피사는 이탈리아의 4대 해양 공화국 중 하나가 되었으며, 그 번영은 조선업, 무역, 해군 우위에 기반을 두었습니다.","ピサは地中海の波に乗って偉大さを手にした。アルノ川の河口近くに位置するこの都市は、ローマの植民地および海軍基地として始まった。ロンバルド人とフランク人の支配が何世紀も続いた後、ピサは11世紀に手ごわい海洋国家として台頭した。ピサ艦隊は1063年にサラセン人の要塞パレルモを襲撃して栄光を手にし、壮麗な大聖堂の建設資金となる莫大な富を持ち帰った。ジェノヴァとの激しい競争と神聖ローマ帝国との同盟を通じて、ピサはコルシカ島、サルデーニャ島を支配し、地中海全域に交易拠点を確立した。共和国の黄金時代には、ピサはイタリアの四大海洋共和国の1つとなり、その繁栄は造船、貿易、海軍の優位性によって築かれた。","比萨在地中海的波涛中崛起。这座位于阿诺河口附近的城市最初是罗马殖民地和海军基地。在经历了数个世纪的伦巴第人和法兰克人统治后，比萨在11世纪崛起为强大的海上强国。比萨舰队在1063年袭击了撒拉逊人的帕勒莫要塞，获得了荣耀，带回了巨额财富，资助了壮丽大教堂的建设。通过与热那亚的激烈竞争以及与神圣罗马帝国的联盟，比萨控制了科西嘉岛、撒丁岛，并在整个地中海建立了贸易据点。共和国的黄金时代使其成为意大利四大海上共和国之一，其繁荣建立在造船业、贸易和海军霸权之上。","比薩在地中海的波濤上崛起為偉大的城市。比薩位於阿諾河口附近，最初是羅馬殖民地與海軍基地。在經歷了數個世紀的倫巴底人與法蘭克人統治後，比薩在11世紀崛起為強大的海洋勢力。比薩艦隊在1063年襲擊了撒拉森人的巴勒莫要塞，獲得了榮耀，帶回了大量財富，資助了壯麗大教堂的建設。透過與熱那亞的激烈競爭以及與神聖羅馬帝國的結盟，比薩控制了科西嘉島、薩丁尼亞島，並在整個地中海建立了貿易據點。共和國的黃金時代使其成為義大利四大海洋共和國之一，其繁榮建立在造船業、貿易與海軍霸權之上。","Pisa, Akdeniz'in dalgaları üzerinde büyüklüğe ulaştı. Arno Nehri'nin ağzına yakın konumlanan şehir, bir Roma kolonisi ve deniz üssü olarak başladı. Yüzyıllarca süren Lombard ve Frank yönetiminden sonra Pisa, 11. yüzyılda müthiş bir denizcilik gücü olarak ortaya çıktı. Pisa filosu 1063'te Sarazen kalesi Palermo'ya baskın düzenleyerek zafer kazandı ve muhteşem Katedral'in inşasını finanse eden muazzam zenginlikler getirdi. Cenova ile şiddetli rekabet ve Kutsal Roma İmparatorluğu ile ittifaklar sayesinde Pisa, Korsika ve Sardinya'yı kontrol etti ve Akdeniz boyunca ticaret noktaları kurdu. Cumhuriyetin altın çağı, onu İtalya'nın dört büyük Denizcilik Cumhuriyeti'nden biri haline getirdi ve refahı gemi yapımı, ticaret ve deniz üstünlüğü üzerine kuruldu.","पीसा भूमध्यसागर की लहरों पर महानता तक पहुंचा. आर्नो नदी के मुहाने के पास स्थित, यह शहर एक रोमन उपनिवेश और नौसैनिक अड्डे के रूप में शुरू हुआ. लोम्बार्ड और फ्रैंकिश शासन की सदियों के बाद, पीसा 11वीं सदी में एक दुर्जेय समुद्री शक्ति के रूप में उभरा. पीसन बेड़े ने 1063 में पालेर्मो के सारासेन गढ़ पर हमला करके महिमा हासिल की, जो अपार धन लेकर आया जिसने शानदार कैथेड्रल के निर्माण को वित्तपोषित किया. जेनोआ के साथ भयंकर प्रतिद्वंद्विता और पवित्र रोमन साम्राज्य के साथ गठजोड़ के माध्यम से, पीसा ने कोर्सिका, सार्डिनिया को नियंत्रित किया और भूमध्यसागर भर में व्यापारिक चौकियां स्थापित कीं. गणतंत्र के स्वर्ण युग ने इसे इटली के चार महान समुद्री गणराज्यों में से एक बना दिया, इसकी समृद्धि जहाज निर्माण, व्यापार और नौसैनिक सर्वोच्चता पर निर्मित थी.","Pisa mencapai kehebatan di atas ombak Mediterania. Terletak di dekat muara Sungai Arno, kota ini dimulai sebagai koloni Romawi dan pangkalan angkatan laut. Setelah berabad-abad di bawah kekuasaan Lombard dan Frankish, Pisa muncul pada abad ke-11 sebagai kekuatan maritim yang tangguh. Armada Pisa mencapai kejayaan pada tahun 1063 dengan menyerbu benteng Saracen di Palermo, membawa kembali kekayaan besar yang membiayai pembangunan Katedral yang megah. Melalui persaingan sengit dengan Genoa dan aliansi dengan Kekaisaran Romawi Suci, Pisa menguasai Korsika, Sardinia, dan mendirikan pos perdagangan di seluruh Mediterania. Masa keemasan republik menjadikannya salah satu dari empat Republik Maritim besar Italia, dengan kemakmurannya dibangun atas pembuatan kapal, perdagangan, dan supremasi angkatan laut."
Albon.description,"At the heart of the Kingdom of Arles, the rising County of Albon strives for dominance over the Empire's western borderlands under the rule of Count Guigues III. Wedged between the powerful Archbishopric of Lyon and the rival House of Savoy, this ambitious dynasty relies on clever diplomacy and bold expansion to secure its domain. Prepare for a fierce, generational feud with your neighbors in Turin, and guide the House of Albon from the shadow of the Alps to the birth of the proud Dauphiné.","Au cœur du Royaume d'Arles, le Comté d'Albon en pleine ascension lutte pour la domination des marches occidentales de l'Empire sous le règne du Comte Guigues III. Coincée entre le puissant Archevêché de Lyon et la Maison rivale de Savoie, cette dynastie ambitieuse s'appuie sur une diplomatie habile et une expansion audacieuse pour sécuriser son domaine. Préparez-vous à une féroce querelle générationnelle avec vos voisins de Turin, et guidez la Maison d'Albon de l'ombre des Alpes à la naissance du fier Dauphiné.","Im Herzen des Königreichs Arles strebt die aufstrebende Grafschaft Albon unter der Herrschaft von Graf Guigues III. nach der Vorherrschaft über die westlichen Grenzgebiete des Reiches. Eingekeilt zwischen dem mächtigen Erzbistum Lyon und dem rivalisierenden Haus Savoyen, verlässt sich diese ehrgeizige Dynastie auf kluge Diplomatie und mutige Expansion, um ihre Herrschaft zu sichern. Bereiten Sie sich auf eine erbitterte, generationenübergreifende Fehde mit Ihren Nachbarn in Turin vor und führen Sie das Haus Albon aus dem Schatten der Alpen zur Geburt des stolzen Dauphiné.","En el corazón del Reino de Arlés, el emergente Condado de Albón lucha por el dominio sobre las fronteras occidentales del Imperio bajo el gobierno del Conde Guigues III. Atrapada entre el poderoso Arzobispado de Lyon y la rival Casa de Saboya, esta ambiciosa dinastía confía en la diplomacia astuta y la expansión audaz para asegurar su dominio. Prepárate para una feroz disputa generacional con tus vecinos en Turín, y guía a la Casa de Albón desde la sombra de los Alpes hasta el nacimiento del orgulloso Delfinado.","W sercu Królestwa Arles, rozwijające się Hrabstwo Albon dąży do dominacji nad zachodnimi rubieżami Cesarstwa pod rządami hrabiego Guigues III. Uwięziona między potężnym Arcybiskupstwem Lyonu a rywalizującym Domem Sabaudii, ta ambitna dynastia polega na sprytnej dyplomacji i śmiałej ekspansji, aby zabezpieczyć swoje włości. Przygotuj się na zaciekłą, międzypokoleniową waśń z sąsiadami w Turynie i poprowadź Dom Albon z cienia Alp do narodzin dumnego Delfinatu.","В сердце Королевства Арль восходящее графство Альбон стремится к господству над западными границами Империи под властью графа Гига III. Зажатая между могущественным Лионским архиепископством и соперничающим Савойским домом, эта амбициозная династия полагается на искусную дипломатию и смелую экспансию для укрепления своих владений. Приготовьтесь к ожесточенной, многопоколенной вражде с соседями в Турине и проведите дом Альбон из тени Альп к рождению гордого Дофине.","아를 왕국의 중심에서 떠오르는 알봉 백작령은 기그 3세 백작의 통치 아래 제국의 서부 변경 지역을 지배하기 위해 노력합니다. 강력한 리옹 대주교구와 라이벌인 사보이 가문 사이에 끼인 이 야심찬 왕조는 영토를 확보하기 위해 교묘한 외교와 대담한 확장에 의존합니다. 토리노의 이웃들과 치열한 세대 간 불화를 준비하고, 알봉 가문을 알프스의 그늘에서 자랑스러운 도피네의 탄생으로 이끄십시오.","アルル王国の中心で、台頭するアルボン伯領はギーグ3世伯爵の統治下で帝国の西部辺境地帯の支配を目指しています。強力なリヨン大司教区とライバルであるサヴォイア家の間に挟まれたこの野心的な王朝は、その領土を確保するために巧みな外交と大胆な拡張に頼っています。トリノの隣人との激しい世代を超えた確執に備え、アルボン家をアルプスの影から誇り高きドーフィネの誕生へと導いてください。","在阿尔勒王国的中心，崛起的阿尔邦伯国在吉格三世伯爵的统治下努力争夺帝国西部边疆的统治权。夹在强大的里昂大主教区和竞争对手萨伏依家族之间，这个雄心勃勃的王朝依靠巧妙的外交和大胆的扩张来确保其领地。准备好与都灵的邻居进行激烈的世代争斗，并引导阿尔邦家族从阿尔卑斯山的阴影走向骄傲的多菲内的诞生。","在亞爾王國的中心，崛起的阿爾邦伯國在吉格三世伯爵的統治下努力爭奪帝國西部邊疆的統治權。夾在強大的里昂大主教區和競爭對手薩伏依家族之間，這個雄心勃勃的王朝依靠巧妙的外交和大膽的擴張來確保其領地。準備好與都靈的鄰居進行激烈的世代爭鬥，並引導阿爾邦家族從阿爾卑斯山的陰影走向驕傲的多菲內的誕生。","Arles Krallığı'nın kalbinde, yükselen Albon Kontluğu, Kont Guigues III'ün yönetimi altında İmparatorluğun batı sınır bölgeleri üzerinde hakimiyet için mücadele ediyor. Güçlü Lyon Başpiskoposluğu ile rakip Savoie Hanedanı arasında sıkışan bu hırslı hanedan, topraklarını güvence altına almak için akıllıca diplomasi ve cesur genişlemeye güveniyor. Torino'daki komşularınızla şiddetli, kuşaklar boyu sürecek bir kan davasına hazırlanın ve Albon Hanedanı'nı Alpler'in gölgesinden gururlu Dauphiné'nin doğuşuna doğru yönlendirin.","आर्ल्स साम्राज्य के केंद्र में, काउंट गुइग्स III के शासन के तहत उभरती हुई अल्बोन काउंटी साम्राज्य की पश्चिमी सीमा पर प्रभुत्व के लिए प्रयास कर रही है। शक्तिशाली ल्योन आर्चबिशप और प्रतिद्वंद्वी हाउस ऑफ सेवॉय के बीच फंसा यह महत्वाकांक्षी राजवंश अपने क्षेत्र को सुरक्षित करने के लिए चतुर कूटनीति और साहसिक विस्तार पर निर्भर करता है। ट्यूरिन में अपने पड़ोसियों के साथ एक भयंकर, पीढ़ीगत झगड़े के लिए तैयार रहें, और हाउस ऑफ अल्बोन को आल्प्स की छाया से गर्वित डौफिने के जन्म तक मार्गदर्शन करें।","Di jantung Kerajaan Arles, County of Albon yang sedang berkembang berjuang untuk dominasi atas wilayah perbatasan barat Kekaisaran di bawah pemerintahan Count Guigues III. Terjepit di antara Keuskupan Agung Lyon yang kuat dan Wangsa Savoy yang bersaing, dinasti ambisius ini mengandalkan diplomasi cerdik dan ekspansi berani untuk mengamankan wilayahnya. Bersiaplah untuk perseteruan sengit lintas generasi dengan tetangga Anda di Turin, dan pandu Wangsa Albon dari bayang-bayang Pegunungan Alpen hingga kelahiran Dauphiné yang membanggakan."
ChangeReligionAction.success_fail.sf_king_religion_ability.name,Our king's religion ability (x5),Aptitude à la religion de notre roi (x2),Religionsgeschick unseres Königs (x2),Competencia de religión de nuestro rey (x2),Zdolności religijne naszego władcy (x2),Способность нашего короля «Религия» (х2),자국 국왕의 종교 능력 (x2),自国の王の宗教能力 (x2),我们国王的宗教能力（x2）,我方國王的宗教能力（x2）,Kralımızın din becerisi (x2),हमारे राजा की धर्म से संबंधित क्षमता (x2),Kemampuan agama raja kita (x2)
ChangeReligionAction.success_fail.sf_king_diplomacyn_ability.name,Our King's diplomacy ability (x3),Aptitude à la diplomatie de notre roi,Diplomatiegeschick unseres Königs,Competencia de diplomacia de nuestro rey,Zdolności dyplomatyczne naszego władcy,Способность нашего короля «Дипломатия»,자국 국왕의 외교 능력,自国の外交能力,我们国王的外交能力,我方國王的外交能力,Kralımızın diplomasi becerisi,हमारे राजा की कूटनीतिक योग्यता,Kemampuan diplomasi Raja kita
ChangeReligionAction.success_fail.sf_num_neighbors_following_old_religion.name,"Our neighbors, following {own_kingdom.religion:ism} (x5)",Nos voisins pratiquant {own_kingdom.religion:ismdef} (x10),"Unsere Nachbarn, die {own_kingdom.religion:ismprepto} gehören (x10)",Nuestros vecinos que siguen el {own_kingdom.religion:ism} (x10),Nasi sąsiedzi wyznający {own_kingdom.religion} (x10),"Наши соседи, исповедующие {own_kingdom.religion:ism} (х10)",이웃 왕국들의 종교가 {own_kingdom.religion:ism}일 경우 (x10),{own_kingdom.religion:ism}を信仰中の隣国 (x10),信奉{own_kingdom.religion:ism}的近邻（x10）,我方鄰國，信奉{own_kingdom.religion:ism}（x10）,"Komşularımız, {own_kingdom.religion:ism} inancını benimsiyor (x10)","हमारे पड़ोसी, जो {own_kingdom.religion} को मानते हैं.","Tetangga kita, menganut {own_kingdom.religion:ism} (x10)"
ChangeReligionAction.success_fail.sf_crown_authority.name,"Our crown authority (x5)","Autorité de notre couronne (x2)","Unsere Kronautorität (x2)","Nuestra autoridad de la corona (x2)","Nasz autorytet korony (x2)","Авторитет нашей короны (x2)","자국의 왕권 (x2)","自国の王の権威 (x2)","我们的王权威信（x2）","我方王室權威（x2）","Kraliyet otoritemiz (x2)","हमारी क्राउन अथॉरिटी (x2)","Otoritas Mahkota kita (x2)"
ChangeReligionAction.success_fail.sf_num_neighbors_following_new_religion.name,"Our neighbors, following {target_religion:ism} (x10)","Nos voisins pratiquant {target_religion:ismdef} (x5)","Unsere Nachbarn, die {target_religion:ismprepto} gehören (x5)","Nuestros vecinos, que siguen el {target_religion:ism} (x5)","Nasi sąsiedzi wyznający: {target_religion:ism} (x5)","Наши соседи, исповедующие {target_religion:ism} (x5)","이웃 왕국들의 종교가 {target_religion:ism}일 경우 (x5)","{target_religion:ism}を信仰中の隣国 (x5)","信奉{target_religion:ism}的近邻（x5）","信奉{target_religion:ism}的我方鄰國（x5）","Komşularımız, {target_religion:ism} inancını benimsiyor (x5)","हमारे पड़ोसी, {target_religion:ism} के अनुयायी (x5)","Tetangga kita, menganut {target_religion:ism} (x5)"
ChangeReligionAction.success_fail.sf_num_neighbors_following_old_religion.name,"Our neighbors, following {own_kingdom.religion:ism} (x2)","Nos voisins pratiquant {own_kingdom.religion:ismdef} (x10)","Unsere Nachbarn, die {own_kingdom.religion:ismprepto} gehören (x10)","Nuestros vecinos que siguen el {own_kingdom.religion:ism} (x10)","Nasi sąsiedzi wyznający {own_kingdom.religion} (x10)","Наши соседи, исповедующие {own_kingdom.religion:ism} (х10)","이웃 왕국들의 종교가 {own_kingdom.religion:ism}일 경우 (x10)","{own_kingdom.religion:ism}を信仰中の隣国 (x10)","信奉{own_kingdom.religion:ism}的近邻（x10）","我方鄰國，信奉{own_kingdom.religion:ism}（x10）","Komşularımız, {own_kingdom.religion:ism} inancını benimsiyor (x10)","हमारे पड़ोसी, जो {own_kingdom.religion} को मानते हैं.","Tetangga kita, menganut {own_kingdom.religion:ism} (x10)"
ChangeReligionAction.success_fail.sf_num_realms_following_new_religion.name,"Our provinces, following {target_religion:ism} (x6)","Nos provinces pratiquant {target_religion:ismdef} (x5)","Unsere Provinzen, die {target_religion:ismprepto} gehören (x5)","Nuestras provincias que siguen el {target_religion:ism} (x5)","Nasze prowincje wyznające {target_religion:B} (x5)","Наши провинции, исповедующие {target_religion:ism} (x5)","자국 지역의 종교가 {target_religion:ism}일 경우 (x5)","{target_religion:ism}を信仰中の自国領地 (x5)","信奉{target_religion:ism}的行省（x5）","我方行省，信奉{target_religion:ism}（x5）","Bölgelerimiz, {target_religion:ism} inancını benimsiyor (x5)","{target_religion} को मानने वाले हमारे प्रांत (x5)","Provinsi kita, menganut {target_religion:ism} (x5)"
ChangeReligionAction.success_fail.sf_num_realms_following_old_religion.name,"Our provinces, following {own_kingdom.religion:ism} (x4)","Nos provinces pratiquant {own_kingdom.religion:ismdef}","Unsere Provinzen, die {own_kingdom.religion:ismprepto} gehören","Nuestras provincias, que siguen el {own_kingdom.religion:ism}","Nasze prowincje wyznające: {own_kingdom.religion:ism}","Наши провинции, исповедующие {own_kingdom.religion:ism}","자국 지역의 종교가 {own_kingdom.religion:ism}일 경우","{own_kingdom.religion:ism}を信仰中の自国領地","信奉{own_kingdom.religion:ism}的行省","信奉{own_kingdom.religion:ism}的我方行省","Bölgelerimiz, {own_kingdom.religion:ism} inancını benimsiyor","हमारे प्रांत, {own_kingdom.religion:ism} के अनुयायी","Provinsi kita, menganut {own_kingdom.religion:ism}"
VillagesDistrict.name,Trading,Commerce,Handel,Comercio,Handel,Торговля,무역,貿易,贸易,貿易,Ticaret,व्यापार,Perdagangan
AnglersHuts.name,"Fishing","Cabanes de pêcheurs","Anglerhütten","Chozas de pescadores","Chaty wędkarzy","Рыбацкие хижины","낚시꾼 오두막","釣り小屋","垂钓者小屋","釣客小屋","Balıkçı Kulübeleri","एंगलर्स के हट्स","Pondok Pemancing"
CampaignVars.max_unlockable_tiers.options.3.name,9 Buildings,9 Bâtiments,9 Gebäude,9 Edificios,9 Budynków,9 Зданий,9개 건물,9つの建物,9座建筑,9座建築,9 Bina,9 बिल्डिंग्स,9 Bangunan
CampaignVars.max_unlockable_tiers.options.3.description,You can build up to 9 Buildings in a province,Vous pouvez construire jusqu'à 9 bâtiments dans une province,Sie können bis zu 9 Gebäude in einer Provinz bauen,Puedes construir hasta 9 edificios en una provincia,Możesz zbudować do 9 budynków w prowincji,Вы можете построить до 9 зданий в провинции,행성에 최대 9개의 건물을 지을 수 있습니다,州に最大9つの建物を建てることができます,您可以在一个行省中建造最多9座建筑,您可以在一個行省中建造最多9座建築,Bir bölgede 9 binaya kadar inşa edebilirsiniz,आप एक प्रांत में 9 बिल्डिंग्स तक बना सकते हैं,Anda dapat membangun hingga 9 bangunan di suatu provinsi
CampaignVars.max_unlockable_tiers.options.6.name,12 Buildings,12 Bâtiments,12 Gebäude,12 Edificios,12 Budynków,12 Зданий,12개 건물,12つの建物,12座建筑,12座建築,12 Bina,12 बिल्डिंग्स,12 Bangunan
CampaignVars.max_unlockable_tiers.options.6.description,You can build up to 12 Buildings in a province,Vous pouvez construire jusqu'à 12 bâtiments dans une province,Sie können bis zu 12 Gebäude in einer Provinz bauen,Puedes construir hasta 12 edificios en una provincia,Możesz zbudować do 12 budynków w prowincji,Вы можете построить до 12 зданий в провинции,행성에 최대 12개의 건물을 지을 수 있습니다,州に最大12つの建物を建てることができます,您可以在一个行省中建造最多12座建筑,您可以在一個行省中建造最多12座建築,Bir bölgede 12 binaya kadar inşa edebilirsiniz,आप एक प्रांत में 12 बिल्डिंग्स तक बना सकते हैं,Anda dapat membangun hingga 12 bangunan di suatu provinsi
CampaignVars.max_unlockable_tiers.options.9.name,15 Buildings,15 Bâtiments,15 Gebäude,15 Edificios,15 Budynków,15 Зданий,15개 건물,15つの建物,15座建筑,15座建築,15 Bina,15 बिल्डिंग्स,15 Bangunan
CampaignVars.max_unlockable_tiers.options.9.description,You can build up to 15 Buildings in a province,Vous pouvez construire jusqu'à 15 bâtiments dans une province,Sie können bis zu 15 Gebäude in einer Provinz bauen,Puedes construir hasta 15 edificios en una provincia,Możesz zbudować do 15 budynków w prowincji,Вы можете построить до 15 зданий в провинции,행성에 최대 15개의 건물을 지을 수 있습니다,州に最大15つの建物を建てることができます,您可以在一个行省中建造最多15座建筑,您可以在一個行省中建造最多15座建築,Bir bölgede 15 binaya kadar inşa edebilirsiniz,आप एक प्रांत में 15 बिल्डिंग्स तक बना सकते हैं,Anda dapat membangun hingga 15 bangunan di suatu provinsi
CampaignVars.max_unlockable_tiers.options.12.name,18 Buildings,18 Bâtiments,18 Gebäude,18 Edificios,18 Budynków,18 Зданий,18개 건물,18つの建物,18座建筑,18座建築,18 Bina,18 बिल्डिंग्स,18 Bangunan
CampaignVars.max_unlockable_tiers.options.12.description,You can build up to 18 Buildings in a province,Vous pouvez construire jusqu'à 18 bâtiments dans une province,Sie können bis zu 18 Gebäude in einer Provinz bauen,Puedes construir hasta 18 edificios en una provincia,Możesz zbudować do 18 budynków w prowincji,Вы можете построить до 18 зданий в провинции,행성에 최대 18개의 건물을 지을 수 있습니다,州に最大18つの建物を建てることができます,您可以在一个行省中建造最多18座建筑,您可以在一個行省中建造最多18座建築,Bir bölgede 18 binaya kadar inşa edebilirsiniz,आप एक प्रांत में 18 बिल्डिंग्स तक बना सकते हैं,Anda dapat membangun hingga 18 bangunan di suatu provinsi
Militia_CE.name,Levies,Levées,Aufgebote,Levas,Pospolitego ruszenia,Ополчение,징집병,徴集兵,征召兵,徵召兵,Milis,भर्ती,Pasukan Milisi
Militia_Nord.name,"Norse Peasants","Paysans scandinaves","Nordische Bauern","Campesinos nórdicos","Chłopi nordyccy","Скандинавские крестьяне","노르드 소작농","ノルド農民","北欧农民","北歐農民","İskandinav Köylüleri","नॉर्डिक किसान","Petani Nordik"
Light_Infantry_CE.name,Levy Swordsmen,Épéistes levés,Aufgebotene Schwertkämpfer,Espadachines de leva,Miecznicy z pospolitego ruszenia,Ополченцы-мечники,징집 검사,徴集剣士,征召剑士,徵召劍士,Milis Kılıççıları,भर्ती तलवारबाज़,Pasukan Pedang Milisi
Light_Spearman_CE.name,Levy Spearmen,Lanciers levés,Aufgebotene Speerträger,Lanceros de leva,Włócznicy z pospolitego ruszenia,Ополченцы-копейщики,징집 창병,徴集槍兵,征召矛兵,徵召矛兵,Milis Mızrakçıları,भर्ती भालाधारी,Pasukan Tombak Milisi
Light_Cavalry_CE.name,Levy Cavalry,Cavalerie levée,Aufgebotene Kavallerie,Caballería de leva,Jazda z pospolitego ruszenia,Ополченцы-кавалеристы,징집 기병,徴集騎兵,征召骑兵,徵召騎兵,Milis Süvarileri,भर्ती घुड़सवार,Pasukan Kavaleri Milisi
Light_Archer_CE.name,Levy Archers,Archers levés,Aufgebotene Bogenschützen,Arqueros de leva,Łucznicy z pospolitego ruszenia,Ополченцы-лучники,징집 궁수,徴集弓兵,征召弓箭手,徵召弓箭手,Milis Okçuları,भर्ती तीरंदाज़,Pasukan Pemanah Milisi
Marshal_CE.name,Marshal's Retinue,Suite du maréchal,Gefolge des Marschalls,Séquito del mariscal,Orszak marszałka,Свита маршала,원수 호위병,元帥の従者,元帅随从,元帥隨從,Mareşal Maiyeti,मार्शल की टीम,Rombongan Marshal
Heavy_Swordman_CE.name,Sergeant Swordsmen,Épéistes sergents,Sergeanten-Schwertkämpfer,Espadachines sargentos,Sierżanci miecze,Сержанты-мечники,상사 검사,軍曹剣士,中士剑士,軍士劍士,Çavuş Kılıççıları,सार्जेंट तलवारबाज़,Sersan Pasukan Pedang
Heavy_Spearman_CE.name,Sergeant Spearmen,Lanciers sergents,Sergeanten-Speerträger,Lanceros sargentos,Sierżanci włócznicy,Сержанты-копейщики,상사 창병,軍曹槍兵,中士矛兵,軍士矛兵,Çavuş Mızrakçıları,सार्जेंट भालाधारी,Sersan Pasukan Tombak
Heavy_Archer_CE.name,Sergeant Archers,Archers sergents,Sergeanten-Bogenschützen,Arqueros sargentos,Sierżanci łucznicy,Сержанты-лучники,상사 궁수,軍曹弓兵,中士弓箭手,軍士弓箭手,Çavuş Okçuları,सार्जेंट तीरंदाज़,Sersan Pasukan Pemanah
Heavy_Cavalry_CE.name,Mounted Sergeants,Sergents montés,Berittene Sergeanten,Sargentos montados,Konni sierżanci,Конные сержанты,기마 상사,騎乗軍曹,骑马中士,騎乘軍士,Atlı Çavuşlar,घुड़सवार सार्जेंट,Sersan Berkuda
