extend *,BasedOn,GoldCost,HammersCost,BooksCost,PietyCost,GoldUpkeep,Bonuses,Requires
ColliersKiln,Upgrade,890,1500,,,,1 Gold in Town produces Charcoal,
MasterJoiner,Upgrade,2310,4000,200,,,1 WorkerSlots in Town 1 Trade in Town 15 rs_settlement_recovery produces Furniture,Craftsmen
BloomeryFurnaces,Upgrade,1440,3000,,,,1 WorkerSlots in Town 1 Trade in Town produces Iron,Charcoal
Stücköfen,Upgrade,2090,4500,100,,,2 Gold in Town 2 Trade in Town 10 rs_heavy_discount_perc,EarlyScholars
BlastFurnace,Upgrade,3310,6000,500,,,1 WorkerSlots in Town 1 Gold in Village 1 Trade in Town produces EarlySteel,Scholars
SaltRefineries,Upgrade,1770,4000,100,,,1 WorkerSlots in Town 1 Gold in Village 1 Trade in Town 5 rs_growth_rate_perc,EarlyScholars
StudFarm,Upgrade,1000,2500,50,,,2 Gold in HorseFarm 1 Food in Farm,
SelectiveBreeding,Upgrade,2750,4000,100,,,1 Trade in HorseFarm produces TrainedHorses,
WarhorseBreed,Upgrade,3860,6000,500,,,3 Trade in HorseFarm produces WarHorses,
ParchmentMaker,Upgrade,2750,4000,100,,,"2 Gold in Town 1 Books in MonasteryOrMosque produces Parchment",
WoolWeaver,Upgrade,1660,2500,,,,"1 Gold in Town 1 Gold in Village produces Wool",
FineWoolBreeding,Upgrade,1100,4000,100,,,"2 Trade in Town 1 WorkerSlots in Town",
OxBreeding,Upgrade,2200,3500,100,,,"2 Trade in Town produces DraftOxen",
DairyShop,Upgrade,1210,2000,50,,,"2 Food in Town 1 Trade in Town 1 Gold in Town",-
Butcher_Cattle,Butcher,1770,2500,50,,,2 Food in Town 50 rs_max_food 1 WorkerSlots in Town produces Meat,Salt
Cupellation,Upgrade,1650,3500,100,,,1 Gold in Mine 1 Gold in Village 2 Trade in Mine 10 ks_culture_from_buildings if Governed,
DeepMining,Upgrade,3000,5000,500,,,,Craftsmen Timber EarlyScholars
DeepMining_Silver,DeepMining,,,,,,1 WorkerSlots in Mine 4 Gold in Mine 4 Trade in Mine produces Silver,
GoldRefining,Upgrade,1950,4000,100,,,1 Gold in Mine 1 Gold in Village 1 Gold in Monastery 2 Trade in Mine 10 ks_culture_from_buildings if Governed,
DeepMining_Gold,DeepMining,,,,,,1 WorkerSlots in Mine 2 Gold in Mine 4 Trade in Mine produces Gold,
GemstoneWorkshop,Upgrade,2390,4000,100,,,1 WorkerSlots in Mine 1 Gold in Town 1 Gold in Village 1 Gold in Monastery produces Gemstones,
WinePresses,Upgrade,1200,2500,,,,2 Gold in Vineyard 1 Trade in Vineyard 1 Food in Vineyard,
WineCellars,Upgrade,2600,4000,50,,,1 Trade in Town 2 Trade in Vineyard 1 Trade in Monastery produces Wine,Timber
SunDryingGrapes,Upgrade,650,1500,,,,1 Gold in Vineyard 2 Food in Vineyard,
LimeKilns,Upgrade,1800,2500,50,,,1 WorkerSlots in Quarry 1 Gold in Quarry 0.5 Gold in All 5 rs_build_cost_discount_perc,
StoneCutters,Upgrade,1500,2000,50,,,1 WorkerSlots in Quarry 1 Gold in Quarry 1 Trade in Quarry produces Lime,
MarbleSawingWorkshop,Upgrade,2400,3000,50,,,,
PilgrimageChurch,Upgrade,1400,2500,,100,,1 Piety in Town 2 Gold in Town 1 Gold in Monastery 50 ks_max_piety if ClericGovernor,
Basilica,Upgrade,3000,5500,,500,,2 Piety in Town 4 Gold in Town 1 Gold in All if ClericGovernor 100 ks_max_piety if ClericGovernor,Stonemasons
CeremonialShrine,Upgrade,1000,2000,,200,,2 Piety in Town 1 Piety in Monastery 5 ks_culture_from_buildings if ClericGovernor,
PilgrimHospice,Upgrade,1200,2000,,50,,1 Trade in Town 1 Trade in Monastery 1 Trade in Village 5 ks_catholic_influence if ClericGovernor,
ExpandedSacredPrecinct,Upgrade,1500,2500,,100,,2 Piety in Town 2 Gold in Town 1 Gold in Mosque 50 ks_max_piety if ClericGovernor,
GrandSacredPrecinct,Upgrade,3200,5500,,500,,3 Piety in Town 4 Gold in Town 1 Gold in All if ClericGovernor 100 ks_max_piety if ClericGovernor,Stonemasons
PilgrimageComplex,Upgrade,1400,3000,,50,,2 Trade in Town 1 Trade in Mosque 1 Trade in Village 10 ks_caliphate_influence if ClericGovernor,
